Páratartalom [%]	D1	D2	D3	D4	D5	D6	D7	D8	L1	L2	L3	L4	L5	L6	L7	L8	Méretszám	Idő különbség [perc]	Megerősített?
226	2299	2057	2024	2013	2009	2355	2229	2064	2355	2299	2229	2064	2057	2024	2013	2009	17050	48401,5	
52	0	0	41	2674	702	0	0	2	2674	702	41	2	0	0	0	0	3419	76,7	0
53	0	0	7	321	2904	397	0	0	2904	397	321	7	0	0	0	0	3629	99	0
52	0	615	1275	0	0	1	0	1	1275	615	1	1	0	0	0	0	1892	43,3	0
51	699	866	1003	1039	1153	1013	1302	1191	1302	1191	1153	1039	1013	1003	866	699	8266	45,3	0
51	1391	1347	1280	1230	1191	1333	1444	1470	1470	1444	1391	1347	1333	1280	1230	1191	10686	25,6	0
50	65	184	1717	1721	137	35	69	85	1721	1717	184	137	85	69	65	35	4013	5,3	0
50	1276	1877	1269	1593	1561	739	500	174	1877	1593	1561	1276	1269	739	500	174	8989	13,6	0
50	494	690	1653	2601	802	630	550	323	2601	1653	802	690	630	550	494	323	7743	12,6	0
49	1430	1771	1838	1866	1855	1757	1616	1389	1866	1855	1838	1771	1757	1616	1430	1389	13522	25,9	0
48	632	930	882	1327	2019	1566	1317	951	2019	1566	1327	1317	951	930	882	632	9624	4,9	0
48	1216	1463	1496	1408	1343	1216	1128	984	1496	1463	1408	1343	1216	1216	1128	984	10254	1278,1	0
54	0	0	0	1640	0	0	0	0	1640	0	0	0	0	0	0	0	1640	35,4	1
54	0	0	0	2649	0	0	0	0	2649	0	0	0	0	0	0	0	2649	9,4	1
54	4	7	7	9	16	10	1779	0	1779	16	10	9	7	7	4	0	1832	690	1
53	4	5	7	8	5	2	2003	269	2003	269	8	7	5	5	4	2	2303	48,4	0
53	0	1	2	2406	1068	10	2	3	2406	1068	10	3	2	2	1	0	3492	338,6	0
52	2	1	3	3	1	4	1	1482	1482	4	3	3	2	1	1	1	1497	2,9	0
52	4	4	5	6	5	3	1904	313	1904	313	6	5	5	4	4	3	2244	4,9	0
52	0	0	3472	269	1	2	2	1	3472	269	2	2	1	1	0	0	3747	112	0
52	5	8	8	9	3	137	3733	0	3733	137	9	8	8	5	3	0	3903	12,5	0
52	2	2	1	3	1325	2935	282	0	2935	1325	282	3	2	2	1	0	4550	5,2	0
52	2	1	3	4	5	79	1822	923	1822	923	79	5	4	3	2	1	2839	7,6	1
52	0	1	3	8	1159	2742	871	0	2742	1159	871	8	3	1	0	0	4784	11,1	0
52	3	0	1	0	0	1258	2774	14	2774	1258	14	3	1	0	0	0	4050	54,5	1
52	169	2474	882	24	0	0	0	0	2474	882	169	24	0	0	0	0	3549	16,9	0
52	0	0	0	0	238	4349	0	0	4349	238	0	0	0	0	0	0	4587	2,5	1
52	0	0	0	0	0	0	1870	1837	1870	1837	0	0	0	0	0	0	3707	4,1	1
52	13	44	282	864	2090	1205	438	46	2090	1205	864	438	282	46	44	13	4982	24,3	0
52	803	2525	1855	2460	1963	418	145	46	2525	2460	1963	1855	803	418	145	46	10215	12,5	0
52	1823	2237	2366	2386	2404	2295	2126	1921	2404	2386	2366	2295	2237	2126	1921	1823	17558	16,4	0
52	0	1	0	0	1611	0	0	0	1611	1	0	0	0	0	0	0	1612	21,9	1
52	25	1504	1	2	1	1	4	7	1504	25	7	4	2	1	1	1	1545	10,7	1
52	61	281	541	1115	2703	1766	1029	344	2703	1766	1115	1029	541	344	281	61	7840	8,2	0
52	11	0	9	19	2521	130	0	5	2521	130	19	11	9	5	0	0	2695	17,3	1
52	0	0	0	1449	0	0	0	0	1449	0	0	0	0	0	0	0	1449	42,6	1
