Páratartalom [%]	D1	D2	D3	D4	D5	D6	D7	D8	L1	L2	L3	L4	L5	L6	L7	L8	Méretszám	Idő különbség [perc]	Megerősített?
62	0	0	0	0	0	603	0	0	603	0	0	0	0	0	0	0	603	1609,9	0
60	976	1603	1227	230	3	2	3	5	1603	1227	976	230	5	3	3	2	4049	19,1	0
60	0	0	0	0	467	2943	969	0	2943	969	467	0	0	0	0	0	4379	322,4	0
61	0	0	40	2612	1902	23	0	0	2612	1902	40	23	0	0	0	0	4577	1082,2	1
61	0	0	0	13	1668	1746	528	0	1746	1668	528	13	0	0	0	0	3955	227,1	0
59	0	1329	2374	194	0	0	0	0	2374	1329	194	0	0	0	0	0	3897	31,1	1
57	0	0	0	2591	1457	46	3	0	2591	1457	46	3	0	0	0	0	4097	20,4	1
58	784	819	1812	1683	511	300	214	130	1812	1683	819	784	511	300	214	130	6253	1273,6	0
62	0	1	1	0	671	3618	0	0	3618	671	1	1	0	0	0	0	4291	365,4	1
63	5	2	5	2	180	1525	0	0	1525	180	5	5	2	2	0	0	1719	972,1	1
63	284	310	541	583	1084	1473	1022	511	1473	1084	1022	583	541	511	310	284	5808	1582,1	0
63	1583	1498	1773	1429	1448	1505	1442	1320	1773	1583	1505	1498	1448	1442	1429	1320	11998	80,2	0
62	2209	2099	2669	2358	2528	2124	1643	1382	2669	2528	2358	2209	2124	2099	1643	1382	17012	12	0
61	1414	1348	1740	1532	1556	1335	1037	890	1740	1556	1532	1414	1348	1335	1037	890	10852	4,2	0
61	1230	988	1109	946	942	867	724	636	1230	1109	988	946	942	867	724	636	7442	1	0
61	1032	991	1202	1032	1012	905	725	608	1202	1032	1032	1012	991	905	725	608	7507	1,2	0
61	1324	1274	1551	1351	1344	1188	958	816	1551	1351	1344	1324	1274	1188	958	816	9806	2,2	0
61	1695	1745	2218	2009	1955	1691	1309	1085	2218	2009	1955	1745	1695	1691	1309	1085	13707	1,3	0
61	521	478	601	526	529	456	354	302	601	529	526	521	478	456	354	302	3767	1,3	0
61	1250	1165	1438	1234	1248	1063	820	715	1438	1250	1248	1234	1165	1063	820	715	8933	2,8	0
61	1891	1697	2122	1810	1852	1610	1277	1113	2122	1891	1852	1810	1697	1610	1277	1113	13372	15,3	0
61	1518	1406	1699	1431	1400	1220	999	883	1699	1518	1431	1406	1400	1220	999	883	10556	3,1	0
62	1581	1472	1782	1572	1558	1351	1084	927	1782	1581	1572	1558	1472	1351	1084	927	11327	4120	0
49	3	434	839	532	10	10	8	5	839	532	434	10	10	8	5	3	1841	379,7	0
47	2	2	1	1	0	763	2342	180	2342	763	180	2	2	1	1	0	3291	113,1	1
47	0	100	1473	3241	847	21	14	10	3241	1473	847	100	21	14	10	0	5706	683,6	0
63	0	2869	1123	0	1	4	4	2	2869	1123	4	4	2	1	0	0	4003	1364,5	1
58	1159	1650	2092	2199	1959	1929	2074	1630	2199	2092	2074	1959	1929	1650	1630	1159	14692	20,5	0
58	706	982	1198	1196	1020	996	1050	801	1198	1196	1050	1020	996	982	801	706	7949	2438,7	0
51	134	2243	1394	4	3	5	3	2	2243	1394	134	5	4	3	3	2	3788	265,3	0
50	2	5	4	4	3	1279	1517	1	1517	1279	5	4	4	3	2	1	2815	799,5	0
64	2	2437	621	0	0	0	0	1	2437	621	2	1	0	0	0	0	3061	77	1
64	0	0	1936	1955	1	3	2	2	1955	1936	3	2	2	1	0	0	3899	13,8	1
64	5	297	1827	1501	0	0	0	0	1827	1501	297	5	0	0	0	0	3630	145,6	1
61	0	0	1789	2831	0	17	13	13	2831	1789	17	13	13	0	0	0	4663	34,7	1
61	0	0	0	0	0	997	1602	0	1602	997	0	0	0	0	0	0	2599	8	1
61	0	0	0	0	0	2470	0	0	2470	0	0	0	0	0	0	0	2470	3,6	1
61	0	0	75	4964	0	0	1	4	4964	75	4	1	0	0	0	0	5044	1,4	1
61	0	0	2424	2484	7	1	3	4	2484	2424	7	4	3	1	0	0	4923	44,2	1
48	4	0	0	2817	0	0	3	3	2817	4	3	3	0	0	0	0	2827	976,4	0
62	0	0	0	21	2929	608	0	0	2929	608	21	0	0	0	0	0	3558	91	1
64	2	0	0	0	0	3679	0	0	3679	2	0	0	0	0	0	0	3681	1,8	1
