Napló azon.	Időpont	Óra	Mérés	Szakasz	Mérés sorozat megnevezése	Szonda	Páratartalom [%]	Hőmérséklet [°C]	D1	D2	D3	D4	D5	D6	D7	D8	L1	L2	L3	L4	L5	L6	L7	L8	Méretszám	Idő különbség [perc]	Megerősített?
107371	2018.09.29. 20:01:58	20	6	6/27	Diab.virg/5	V344	62	9,89	0	0	0	0	0	603	0	0	603	0	0	0	0	0	0	0	603	1609,9	0
107149	2018.09.28. 17:12:05	17	6	6/27	Diab.virg/5	V344	60	21,59	976	1603	1227	230	3	2	3	5	1603	1227	976	230	5	3	3	2	4049	19,1	0
107148	2018.09.28. 16:53:00	16	6	6/27	Diab.virg/5	V344	60	21,64	0	0	0	0	467	2943	969	0	2943	969	467	0	0	0	0	0	4379	322,4	0
107147	2018.09.28. 11:30:35	11	6	6/27	Diab.virg/5	V344	61	22,47	0	0	40	2612	1902	23	0	0	2612	1902	40	23	0	0	0	0	4577	1082,2	1
106820	2018.09.27. 17:28:23	17	6	6/27	Diab.virg/5	V344	61	20,65	0	0	0	13	1668	1746	528	0	1746	1668	528	13	0	0	0	0	3955	227,1	0
106819	2018.09.27. 13:41:18	13	6	6/27	Diab.virg/5	V344	59	23,66	0	1329	2374	194	0	0	0	0	2374	1329	194	0	0	0	0	0	3897	31,1	1
106818	2018.09.27. 13:10:09	13	6	6/27	Diab.virg/5	V344	57	25,15	0	0	0	2591	1457	46	3	0	2591	1457	46	3	0	0	0	0	4097	20,4	1
106817	2018.09.27. 12:49:46	12	6	6/27	Diab.virg/5	V344	58	23,47	784	819	1812	1683	511	300	214	130	1812	1683	819	784	511	300	214	130	6253	1273,6	0
106621	2018.09.26. 15:36:10	15	6	6/27	Diab.virg/5	V344	62	16,46	0	1	1	0	671	3618	0	0	3618	671	1	1	0	0	0	0	4291	365,4	1
106620	2018.09.26. 09:30:44	9	6	6/27	Diab.virg/5	V344	63	12,6	5	2	5	2	180	1525	0	0	1525	180	5	5	2	2	0	0	1719	972,1	1
106396	2018.09.25. 17:18:37	17	6	6/27	Diab.virg/5	V344	63	13,39	284	310	541	583	1084	1473	1022	511	1473	1084	1022	583	541	511	310	284	5808	1582,1	0
106204	2018.09.24. 14:56:31	14	6	6/26	Diab.virg/5	V344	63	15,84	1583	1498	1773	1429	1448	1505	1442	1320	1773	1583	1505	1498	1448	1442	1429	1320	11998	80,2	0
106203	2018.09.24. 13:36:20	13	6	6/26	Diab.virg/5	V344	62	16,82	2209	2099	2669	2358	2528	2124	1643	1382	2669	2528	2358	2209	2124	2099	1643	1382	17012	12	0
106202	2018.09.24. 13:24:23	13	6	6/26	Diab.virg/5	V344	61	17,73	1414	1348	1740	1532	1556	1335	1037	890	1740	1556	1532	1414	1348	1335	1037	890	10852	4,2	0
106201	2018.09.24. 13:20:13	13	6	6/26	Diab.virg/5	V344	61	17,55	1230	988	1109	946	942	867	724	636	1230	1109	988	946	942	867	724	636	7442	1	0
106200	2018.09.24. 13:19:11	13	6	6/26	Diab.virg/5	V344	61	17,32	1032	991	1202	1032	1012	905	725	608	1202	1032	1032	1012	991	905	725	608	7507	1,2	0
106199	2018.09.24. 13:17:58	13	6	6/26	Diab.virg/5	V344	61	17,32	1324	1274	1551	1351	1344	1188	958	816	1551	1351	1344	1324	1274	1188	958	816	9806	2,2	0
106189	2018.09.24. 13:15:45	13	6	6/26	Diab.virg/5	V344	61	17,32	1695	1745	2218	2009	1955	1691	1309	1085	2218	2009	1955	1745	1695	1691	1309	1085	13707	1,3	0
106188	2018.09.24. 13:14:27	13	6	6/26	Diab.virg/5	V344	61	17,14	521	478	601	526	529	456	354	302	601	529	526	521	478	456	354	302	3767	1,3	0
106187	2018.09.24. 13:13:10	13	6	6/26	Diab.virg/5	V344	61	17,14	1250	1165	1438	1234	1248	1063	820	715	1438	1250	1248	1234	1165	1063	820	715	8933	2,8	0
106186	2018.09.24. 13:10:22	13	6	6/26	Diab.virg/5	V344	61	17,51	1891	1697	2122	1810	1852	1610	1277	1113	2122	1891	1852	1810	1697	1610	1277	1113	13372	15,3	0
