Ora,Paratartalom,Homerseklet,D1,D2,D3,D4,D5,D6,D7,D8,L1,L2,L3,L4,L5,L6,L7,L8,Meretszam,Idokulonbseg,Megerositett
8,74,2563,1778,1876,2977,2484,1930,1337,1152,705,2977,2484,1930,1876,1778,1337,1152,705,14239,320,0
16,60,3008,0,0,0,1419,2642,0,0,0,2642,1419,0,0,0,0,0,0,4061,250,1
18,58,3149,0,0,1690,394,0,0,2,5,1690,394,5,2,0,0,0,0,2091,250,1
18,68,2521,0,0,0,2215,2101,0,0,0,2215,2101,0,0,0,0,0,0,4316,150,0
11,71,2801,72,73,79,79,100,407,1665,1848,1848,1665,407,100,79,79,73,72,4323,120,0
12,51,3441,0,0,0,0,4033,526,0,0,4033,526,0,0,0,0,0,0,4559,11210,1
11,60,3251,0,0,0,136,1995,0,0,0,1995,136,0,0,0,0,0,0,2131,600,1
23,65,1750,0,1383,1990,4,6,4,4,2,1990,1383,6,4,4,4,2,0,3393,100,0
9,51,3696,0,0,0,2504,0,0,0,0,2504,0,0,0,0,0,0,0,2504,1490,1
8,57,2176,107,116,263,501,838,1368,104,96,1368,838,501,263,116,107,104,96,3393,130,0
22,61,1771,0,2163,2084,0,1,6,5,4,2163,2084,6,5,4,1,0,0,4263,120,0
17,63,2647,1,4,9,24,685,1873,3126,916,3126,1873,916,685,24,9,4,1,6638,110,1
23,65,2020,0,1,1,1,1197,2478,102,1,2478,1197,102,1,1,1,1,0,3781,2990,1
3,70,1785,3,5,9,6,1,65,2398,0,2398,65,9,6,5,3,1,0,2487,350,0
7,66,2182,0,0,0,151,1617,0,0,0,1617,151,0,0,0,0,0,0,1768,280,1
12,55,3859,21,138,613,1675,1358,1962,854,117,1962,1675,1358,854,613,138,117,21,6738,520,0
16,56,4402,0,0,0,2813,160,0,0,1,2813,160,1,0,0,0,0,0,2974,22390,1
14,48,3830,3,0,0,0,909,0,6,2,909,6,3,2,0,0,0,0,920,3810,0
9,61,2485,659,812,1607,1597,1462,942,842,502,1607,1597,1462,942,842,812,659,502,8423,210,0
5,73,1873,1134,2106,27,3,0,3,3,4,2106,1134,27,4,3,3,3,0,3280,130,0
7,57,1746,1,3,1,0,0,251,1993,0,1993,251,3,1,1,0,0,0,2249,3090,0
16,64,3043,722,1271,1493,608,145,24,10,7,1493,1271,722,608,145,24,10,7,4280,380,0
3,68,1575,3,3,1,1,0,0,162,1574,1574,162,3,3,1,1,0,0,1744,310,0
6,73,1827,2,1,2,1,0,71,2248,852,2248,852,71,2,2,1,1,0,3177,190,0
22,63,1968,1,1,1,137,1657,820,27,0,1657,820,137,27,1,1,1,0,2644,3090,1
17,59,2920,0,0,3,0,163,2874,335,0,2874,335,163,3,0,0,0,0,3375,1530,1
0,64,1868,2,3,2,7,1931,720,4,1,1931,720,7,4,3,2,2,1,2670,2970,1
10,71,2171,0,0,25,1785,904,0,0,0,1785,904,25,0,0,0,0,0,2714,810,1
9,62,1983,0,1,0,0,1446,1639,0,0,1639,1446,1,0,0,0,0,0,3086,130,1
20,59,2216,0,0,2676,1629,1,1,2,3,2676,1629,3,2,1,1,0,0,4312,280,0
15,78,2158,0,0,40,485,2552,2499,0,0,2552,2499,485,40,0,0,0,0,5576,790,1
9,52,3212,0,0,4490,1643,0,0,0,0,4490,1643,0,0,0,0,0,0,6133,1030,1
0,56,1891,3,2,3,1,0,1105,1817,6,1817,1105,6,3,3,2,1,0,2937,230,0
19,59,2173,6,4,5,5,7,3400,1892,0,3400,1892,7,6,5,5,4,0,5319,820,1
11,70,2316,2,2,0,0,0,1653,3217,0,3217,1653,2,2,0,0,0,0,4874,120,1
23,58,2077,3,3,4,1,0,9,1670,6,1670,9,6,4,3,3,1,0,1696,360,1
7,70,1363,2,482,1820,1,0,2,3,2,1820,482,3,2,2,2,1,0,2312,120,0
5,54,1182,0,107,1570,1446,310,38,5,5,1570,1446,310,107,38,5,5,0,3481,13710,0
11,59,3521,0,3,0,0,0,1237,0,0,1237,3,0,0,0,0,0,0,1240,1010,1
10,49,3585,0,0,0,0,4939,0,0,0,4939,0,0,0,0,0,0,0,4939,2540,1
17,57,2869,2,0,0,0,2,2458,403,1,2458,403,2,2,1,0,0,0,2866,1210,1
20,52,2231,4,3,3,4,784,3225,0,4,3225,784,4,4,4,3,3,0,4027,12630,1
11,51,3700,50,114,563,853,427,131,29,5,853,563,427,131,114,50,29,5,2172,200,0
12,58,3318,0,1828,888,0,0,0,6,0,1828,888,6,0,0,0,0,0,2722,4890,1
15,52,3517,2512,2660,2786,2748,2580,1856,2081,1258,2786,2748,2660,2580,2512,2081,1856,1258,18481,1160,0
9,59,2901,0,9,2217,2442,50,0,0,0,2442,2217,50,9,0,0,0,0,4718,1020,1
17,59,3475,1,0,0,0,0,3596,241,0,3596,241,1,0,0,0,0,0,3838,250,1
10,57,3249,1003,1093,1835,2050,2130,1596,1593,1156,2130,2050,1835,1596,1593,1156,1093,1003,12456,770,0
12,53,3940,6,31,153,795,820,354,15,11,820,795,354,153,31,15,11,6,2185,180,0
15,85,2698,3,3,2698,0,4,3,3,2,2698,4,3,3,3,3,2,0,2716,1620,0
13,67,3515,6,49,115,168,423,1129,1314,2150,2150,1314,1129,423,168,115,49,6,5354,410,0
8,67,2076,0,0,2379,1395,0,0,0,0,2379,1395,0,0,0,0,0,0,3774,790,1
11,59,2773,0,0,0,1056,2434,0,0,0,2434,1056,0,0,0,0,0,0,3490,4740,1
17,59,2837,0,0,0,1442,1887,85,0,0,1887,1442,85,0,0,0,0,0,3414,760,1
10,54,2945,733,1149,1466,1585,1473,1474,1474,1154,1585,1474,1474,1473,1466,1154,1149,733,10508,7840,0
17,78,2289,2,0,0,35,1577,0,0,1,1577,35,2,1,0,0,0,0,1615,810,1
0,76,1768,1869,41,4,2,5,2,4,3,1869,41,5,4,4,3,2,2,1930,140,0
10,54,2956,0,0,0,0,306,2938,0,1,2938,306,1,0,0,0,0,0,3245,2730,0
9,72,2320,0,0,559,4009,0,0,11,6,4009,559,11,6,0,0,0,0,4585,300,1
11,58,2076,0,9,2424,16,0,0,0,0,2424,16,9,0,0,0,0,0,2449,810,1
2,56,1887,3,4,4,2,0,971,1745,9,1745,971,9,4,4,3,2,0,2738,120,0
10,60,3079,1105,1200,2307,1945,1486,1182,1113,707,2307,1945,1486,1200,1182,1113,1105,707,11045,140,0
5,66,1770,2,59,1041,1803,189,3,4,2,1803,1041,189,59,4,3,2,2,3103,1610,1
16,59,3113,9,1337,992,0,0,0,0,0,1337,992,9,0,0,0,0,0,2338,1530,1
15,44,3920,0,0,0,1295,842,0,0,1,1295,842,1,0,0,0,0,0,2138,12170,1
0,52,1877,3,4,2,1,466,2586,0,1,2586,466,4,3,2,1,1,0,3063,1950,1
7,66,2357,0,0,0,2118,1529,0,0,0,2118,1529,0,0,0,0,0,0,3647,170,1
11,66,3159,226,385,476,639,769,1835,1800,1427,1835,1800,1427,769,639,476,385,226,7557,1540,0
0,61,1735,2,2019,2043,2,2,4,3,3,2043,2019,4,3,3,2,2,2,4078,160,0
18,59,2700,2,0,0,0,2711,7,0,1,2711,7,2,1,0,0,0,0,2721,780,1
2,56,1602,0,1933,1902,0,0,1,1,3,1933,1902,3,1,1,0,0,0,3840,110,0
17,45,3365,3,4,4,3,8,2062,315,1,2062,315,8,4,4,3,3,1,2400,2910,1
7,60,2308,0,0,0,0,114,2792,0,0,2792,114,0,0,0,0,0,0,2906,940,1
11,56,3456,99,313,569,1303,702,326,131,25,1303,702,569,326,313,131,99,25,3468,190,0
15,60,2807,415,1396,1101,825,243,49,22,9,1396,1101,825,415,243,49,22,9,4060,290,0
23,61,1758,4,3,2,3,0,0,2768,2539,2768,2539,4,3,3,2,0,0,5319,300,0
9,58,3462,0,0,3156,517,0,0,0,0,3156,517,0,0,0,0,0,0,3673,2280,1
11,73,2065,0,0,821,3643,1401,404,0,0,3643,1401,821,404,0,0,0,0,6269,8370,0
15,50,3246,26,287,1987,3122,2645,632,133,52,3122,2645,1987,632,287,133,52,26,8884,550,0
9,63,2348,0,0,3185,2657,0,0,1,1,3185,2657,1,1,0,0,0,0,5844,890,1
13,57,3488,0,0,0,856,2096,0,0,0,2096,856,0,0,0,0,0,0,2952,6400,1
9,52,2827,0,0,0,4395,2746,0,0,0,4395,2746,0,0,0,0,0,0,7141,2420,1
19,72,1950,4,2,4,4,3669,3651,2,1,3669,3651,4,4,4,2,2,1,7337,2840,0
7,70,1362,2,191,3077,3,2,4,4,5,3077,191,5,4,4,3,2,2,3288,140,0
19,60,2085,0,0,5,978,1392,8,0,0,1392,978,8,5,0,0,0,0,2383,3480,1
12,60,2402,0,0,0,23,2253,0,3,12,2253,23,12,3,0,0,0,0,2291,310,1
15,46,3940,0,0,0,1114,42,0,0,2,1114,42,2,0,0,0,0,0,1158,6110,0
11,51,3366,0,0,0,0,2186,3573,0,0,3573,2186,0,0,0,0,0,0,5759,16320,1
7,69,1368,0,109,2579,106,1,3,4,2,2579,109,106,4,3,2,1,0,2804,140,0
8,54,2091,324,329,373,421,298,281,1349,2837,2837,1349,421,373,329,324,298,281,6212,110,0
13,56,3754,0,0,0,50,604,0,0,0,604,50,0,0,0,0,0,0,654,4410,1
8,57,2410,19,21,35,35,37,40,577,1160,1160,577,40,37,35,35,21,19,1924,110,0
7,69,1368,3,100,2976,239,2,2,2,4,2976,239,100,4,3,2,2,2,3328,140,0
8,52,2446,0,0,0,0,80,2246,1630,0,2246,1630,80,0,0,0,0,0,3956,80490,1
3,68,1574,0,3,3,1,1,0,159,1605,1605,159,3,3,1,1,0,0,1772,310,0
15,67,3717,7,13,24,339,1138,2109,225,27,2109,1138,339,225,27,24,13,7,3882,8050,1
14,62,3421,21,1782,3376,920,1,8,12,23,3376,1782,920,23,21,12,8,1,6143,4820,1
0,76,1850,2216,40,1,0,3,1,2,3,2216,40,3,3,2,1,1,0,2266,220,0
22,63,2041,2,2,0,304,3315,0,1,3,3315,304,3,2,2,1,0,0,3627,10190,1
16,70,2648,0,0,0,0,333,2505,0,1,2505,333,1,0,0,0,0,0,2839,240,1
18,72,2421,0,0,0,147,2500,1921,0,0,2500,1921,147,0,0,0,0,0,4568,290,1
